Name,Prediction,Time,Suggestions
Aashish kumar,Yes,2025-06-04 11:18:59,Work on communication; Improve technical skills
Aashish kumar,Yes,2025-06-04 11:23:38,Work on communication; Improve technical skills
gupta ji,Yes,2025-06-11 01:38:22,Improve CGPA
gupta ji,No,2025-06-11 01:38:51,Improve CGPA; Work on communication; Improve technical skills
kk,No,2025-06-11 01:43:29,Improve CGPA; Work on communication; Improve technical skills
kk,No,2025-06-11 01:45:38,Improve CGPA; Work on communication; Improve technical skills
kk,No,2025-06-11 01:45:57,Improve CGPA; Work on communication; Improve technical skills
kk,No,2025-06-11 01:46:04,Improve CGPA; Work on communication; Improve technical skills
1,No,2025-06-11 01:46:36,Improve CGPA; Work on communication; Improve technical skills
kk,No,2025-06-11 01:51:55,Improve CGPA; Work on communication; Improve technical skills
1,No,2025-06-11 01:51:58,Improve CGPA; Work on communication; Improve technical skills
priya,No,2025-06-11 10:28:39,Improve CGPA; Work on communication; Improve technical skills
priya,No,2025-06-11 10:31:10,Improve CGPA; Work on communication; Improve technical skills
himan,No,2025-06-11 10:31:33,Improve CGPA; Get internship experience; Work on communication; Improve technical skills
himan,No,2025-06-11 10:31:37,Improve CGPA; Get internship experience; Work on communication; Improve technical skills
himan,No,2025-06-11 10:31:38,Improve CGPA; Get internship experience; Work on communication; Improve technical skills
himan,No,2025-06-11 10:31:40,Improve CGPA; Get internship experience; Work on communication; Improve technical skills
himan,No,2025-06-11 10:31:40,Improve CGPA; Get internship experience; Work on communication; Improve technical skills
himan,No,2025-06-11 10:31:40,Improve CGPA; Get internship experience; Work on communication; Improve technical skills
himan,No,2025-06-11 10:31:40,Improve CGPA; Get internship experience; Work on communication; Improve technical skills
himan,No,2025-06-11 10:31:47,Improve CGPA; Get internship experience; Work on communication; Improve technical skills
himan,No,2025-06-11 10:31:47,Improve CGPA; Get internship experience; Work on communication; Improve technical skills
himan,No,2025-06-11 10:31:48,Improve CGPA; Get internship experience; Work on communication; Improve technical skills
himan,No,2025-06-11 10:31:48,Improve CGPA; Get internship experience; Work on communication; Improve technical skills
himan,No,2025-06-11 10:31:54,Improve CGPA; Get internship experience; Work on communication; Improve technical skills
himan,No,2025-06-11 10:31:55,Improve CGPA; Get internship experience; Work on communication; Improve technical skills
himan,No,2025-06-11 10:31:55,Improve CGPA; Get internship experience; Work on communication; Improve technical skills
himan,No,2025-06-11 10:31:55,Improve CGPA; Get internship experience; Work on communication; Improve technical skills
himan,No,2025-06-11 10:31:55,Improve CGPA; Get internship experience; Work on communication; Improve technical skills
himan,No,2025-06-11 10:31:56,Improve CGPA; Get internship experience; Work on communication; Improve technical skills
himan,No,2025-06-11 10:31:56,Improve CGPA; Get internship experience; Work on communication; Improve technical skills
himan,No,2025-06-11 10:31:56,Improve CGPA; Get internship experience; Work on communication; Improve technical skills
priya,No,2025-06-11 10:33:53,Improve CGPA; Work on communication; Improve technical skills
gupta ji,No,2025-06-11 10:34:38,Improve CGPA; Work on communication; Improve technical skills
gupta ji,No,2025-06-11 10:34:41,Improve CGPA; Work on communication; Improve technical skills
gupta ji,No,2025-06-11 10:34:42,Improve CGPA; Work on communication; Improve technical skills
gupta ji,No,2025-06-11 10:34:42,Improve CGPA; Work on communication; Improve technical skills
gupta ji,No,2025-06-11 10:34:43,Improve CGPA; Work on communication; Improve technical skills
gupta ji,No,2025-06-11 10:34:43,Improve CGPA; Work on communication; Improve technical skills
gupta ji,No,2025-06-11 10:34:43,Improve CGPA; Work on communication; Improve technical skills
gupta ji,No,2025-06-11 10:34:43,Improve CGPA; Work on communication; Improve technical skills
gupta ji,No,2025-06-11 10:34:43,Improve CGPA; Work on communication; Improve technical skills
gupta ji,No,2025-06-11 10:34:46,Improve CGPA; Work on communication; Improve technical skills
gupta ji,No,2025-06-11 10:34:46,Improve CGPA; Work on communication; Improve technical skills
gupta ji,No,2025-06-11 10:34:47,Improve CGPA; Work on communication; Improve technical skills
gupta ji,No,2025-06-11 10:34:47,Improve CGPA; Work on communication; Improve technical skills
gupta ji,No,2025-06-11 10:38:14,Improve CGPA; Work on communication; Improve technical skills
ak,No,2025-06-11 10:38:24,Improve CGPA; Work on communication; Improve technical skills
as,No,2025-06-11 10:40:39,Improve CGPA; Work on communication; Improve technical skills
as,No,2025-06-11 10:40:39,Improve CGPA; Work on communication; Improve technical skills
1,No,2025-06-11 10:43:53,Improve CGPA; Work on communication; Improve technical skills
1,No,2025-06-11 10:43:56,Improve CGPA; Work on communication; Improve technical skills
1,No,2025-06-11 10:44:04,Improve CGPA; Work on communication; Improve technical skills
1,No,2025-06-11 10:46:14,Improve CGPA; Work on communication; Improve technical skills
1,No,2025-06-11 10:46:17,Improve CGPA; Work on communication; Improve technical skills
1,No,2025-06-11 10:47:17,Improve CGPA; Work on communication; Improve technical skills
1,No,2025-06-11 10:47:18,Improve CGPA; Work on communication; Improve technical skills
1,No,2025-06-11 10:48:10,Improve CGPA; Work on communication; Improve technical skills
1,No,2025-06-11 10:51:30,Improve CGPA; Work on communication; Improve technical skills
1,No,2025-06-11 10:51:38,Improve CGPA; Work on communication; Improve technical skills
1,No,2025-06-11 11:18:04,Improve CGPA; Work on communication; Improve technical skills
1,No,2025-06-11 11:21:06,Improve CGPA; Work on communication; Improve technical skills
1,No,2025-06-11 11:22:26,Improve CGPA; Work on communication; Improve technical skills
1,No,2025-06-11 11:22:48,Improve CGPA; Work on communication; Improve technical skills
1,No,2025-06-11 11:22:58,Improve CGPA; Work on communication; Improve technical skills
aush,No,2025-06-11 11:23:21,Improve CGPA; Work on communication; Improve technical skills
